dataset,Replacement Strategy,accuracy,time,features
451,iris,Marginal,99.870134058,0.0051407999999999,4.0
452,iris,Mean,90.087934256,0.043212341312,4.0
453,iris,Separate models,99.856752874,32.17230376978,4.0
454,iris,Uniform,72.250808428,1.084558941804,4.0
455,iris,Zero,5.2104747840000005,0.0429181489874,4.0
456,japanemg,Conditional,93.04264613,0.005273,5.0
457,japanemg,Copula,93.0426446225,0.0061215,5.0
458,japanemg,Gaussian,93.04264514,0.004871,5.0
459,japanemg,Marginal,93.0426457275,0.0099235,5.0
460,japanemg,Mean,73.4861423125,0.05858713389175,5.0
461,japanemg,Separate models,92.222626995,345.6724146155875,5.0
462,japanemg,Uniform,59.5879943325,0.36379981038,5.0
463,japanemg,Zero,44.505167755,0.06106944480625,5.0
464,jewellery,Conditional,99.83150959,0.00613225,3.0
465,jewellery,Copula,99.83150959,0.00682,3.0
466,jewellery,Gaussian,99.83150958,0.00641125,3.0
467,jewellery,Marginal,99.8315095925,0.0081695,3.0
468,jewellery,Mean,80.1987743475,0.054123956636,3.0
469,jewellery,Separate models,99.96404023,22.187708020552503,3.0
470,jewellery,Uniform,17.809706849999998,3.35340663748,3.0
471,jewellery,Zero,0.0,0.0429834702175,3.0
472,kiva,Conditional,98.278438585,0.008631,6.0
473,kiva,Copula,98.278438185,0.0134645,6.0
474,kiva,Gaussian,98.2784391475,0.009659,6.0
475,kiva,Marginal,98.27843861,0.0091607499999999,6.0
476,kiva,Mean,63.53804467,0.09175192624475,6.0
477,kiva,Separate models,99.96374478,918.24349603375,6.0
478,kiva,Uniform,46.7584541845,14.248552814,6.0
479,kiva,Zero,17.0431546425,0.0900526926415,6.0
480,linnerud,Conditional,94.80472113666669,0.0050626666666666,5.0
481,linnerud,Copula,94.80471937666668,0.0048723333333333,5.0
482,linnerud,Gaussian,94.80471962333333,0.0047536666666666,5.0
483,linnerud,Marginal,94.80471864,0.0054136666666666,5.0
484,linnerud,Mean,88.61234363666667,0.076254731147,5.0
485,linnerud,Separate models,94.70796826333331,99.26118307666668,5.0
486,linnerud,Uniform,55.13144179666667,0.2759868644733333,5.0
487,linnerud,Zero,49.57491679,0.0734413351296666,5.0
488,mba,Conditional,99.43595382333336,0.1840756666666666,13.0
