,Model,Algorithm,Dataset,MSE,R2,Time
4645,knn,Parametric,ecoli,6.792276474064397,80.15376123326035,0.006274
4646,dt,Parametric,Housing_Data,0.8054370168780461,74.07516991935864,0.042455
4647,dt,Parametric,echocardiogram,0.12728142639871085,60.105963954397446,0.038575
4648,dt,Parametric,monk-1,0.3157095743559597,80.17416771373853,0.006353
4649,dt,Parametric,glass,1.9741759439591902,67.24789145012487,0.011519
4650,dt,Parametric,auto-mpg,0.5460573228573143,63.281289394802975,0.007447
4651,dt,Parametric,drug200,0.4122382514630552,80.38984026745877,0.0052
4652,dt,Parametric,sales-cars,253.3402777777778,81.28435051983179,0.004468
4653,dt,Parametric,healthcare-dataset-stroke-data,0.24036369798814686,85.48370083896305,0.039675
4654,dt,Parametric,nursery,2.6051874734660303,81.244689665533,0.00904
4655,dt,Parametric,hr-evaluation,0.07880477913533526,63.32277981154337,0.036182
4656,dt,Parametric,breast-cancer,0.13395444230364484,80.08426737423322,0.015017
4657,dt,Parametric,Salaries,0.9526810619678484,87.91286168648035,0.006245
4658,dt,Parametric,diabetes,0.18453547782018936,74.00510646203415,0.009681
4659,dt,Parametric,heart-c,0.2527510506992831,62.479447826232125,0.165214
4660,dt,Parametric,results,69.23524302748979,98.37017844743853,0.006078
4661,dt,Parametric,SacramentocrimeJanuary2006,2091994.1615403,84.56808914651283,0.010788
4662,dt,Parametric,v3_Latest_Data_Science_Salaries,431.3396042871632,62.003194928937965,0.02399
4663,dt,Parametric,insurance,0.3780718814577081,84.92467670835188,0.006324
4664,dt,Parametric,wine,1.0236608417064301,63.90760358896258,0.1295
4665,dt,Parametric,hungarian-heart-disease,0.18197018712819235,88.45867612036822,0.164402
4666,dt,Parametric,laptop_price,18.816681285745393,99.79178885674101,0.069508
4667,dt,Parametric,pima-indians-diabetes,1.3967737225936678,69.06710062189953,0.014921
4668,dt,Parametric,tic-tac-toe,0.47601828246716493,71.98531334566546,0.015213
4669,dt,Parametric,Titanic_Test,205.18027453154826,67.23844395585175,0.025893
4670,dt,Parametric,Data_Preprocessing,0.07111108543094724,98.2788881428468,0.004347
4671,dt,Parametric,haberman,0.17340653860585786,70.86635956087271,0.00551
4672,dt,Parametric,ElectronicsData,46.00859896238323,73.91154325897482,0.006308
4673,dt,Parametric,500_Person_Gender_Height_Weight_Index,0.3106311887747831,67.39241699247299,0.00542
4674,dt,Parametric,births,0.34409605177177965,76.99777640649224,0.009962
4675,dt,Parametric,Cust_Segmentation,48.754730687063336,84.74645690421593,0.014939
4676,dt,Parametric,drug_dt,0.4122382514630552,75.35801859582014,0.005228
4677,dt,Parametric,Data_Uk,16184.286224300606,60.58931414156028,0.024323
4678,dt,Parametric,heart-statlog,0.30018910048834563,89.22921147516851,0.175569
4679,dt,Parametric,phoneme,0.11684162067646918,68.98156048453839,0.063294
4680,dt,Parametric,Churn_Modelling,845954.8225617644,92.46406412692241,0.147587
4681,dt,Parametric,wilt,0.005175851245388085,82.21356960347737,0.063443
4682,dt,Parametric,airport-frequencies,7552289.113919234,72.02871166760836,0.00581
4683,dt,Parametric,magic,0.4935245517687729,79.47101364436418,0.023568
4684,dt,Parametric,sales-records,5.0136479527478945,68.52454748970086,0.169312
